Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Davi Davis,Rouen U21,1,36.0,33.0,10.0,2.0,2.0,8.0,60.0,38.5,47.8,75.0,62.2,1.0,1.0,3.0,4.0,1.0,30.0
Enzo Oudart,Aix-Maurienne U21,22,33.7,25.0,6.4,3.9,1.6,4.8,63.4,33.0,48.6,72.6,61.2,2.9,0.6,3.6,2.3,8.7,24.3
Davi Quemeth Davis,Rouen U21,20,30.6,20.2,9.4,1.2,3.0,6.4,54.1,35.4,45.7,73.8,58.5,1.4,1.1,1.3,2.0,5.1,22.4
Andréa Samat,Stade Rochelais U21,19,29.5,24.9,5.2,3.9,1.5,3.7,56.1,24.3,40.7,82.7,54.3,2.5,0.3,2.5,1.9,6.1,21.5
Jean Vergez Pascal,Poitiers U21,18,28.9,15.4,6.5,4.5,0.9,5.6,61.5,25.0,50.8,77.5,60.2,3.2,0.3,3.9,2.7,1.4,19.7
Nikolas Farkas,Nantes U21,22,29.6,13.9,12.0,2.1,4.0,8.0,54.1,24.3,49.4,58.6,54.1,1.1,0.4,2.3,2.3,8.1,19.7
Noah Limol,Quimper U21,17,28.2,16.8,7.4,1.4,3.3,4.1,64.9,18.8,61.1,62.5,63.3,2.2,1.4,4.1,3.1,3.0,18.8
Karl Kouame Zeze,Caen U21,11,28.8,20.8,4.0,3.4,0.5,3.5,60.9,36.8,50.6,80.8,62.6,1.3,0.2,2.9,1.4,1.3,18.6
Tayris Diabate,Aix-Maurienne U21,20,31.8,17.2,6.8,3.0,3.0,3.8,56.0,26.3,44.9,70.5,54.5,1.9,0.6,2.6,2.2,7.7,18.0
Anthony Bria,Roanne U21,12,29.4,15.7,5.8,4.1,1.8,4.0,57.7,30.5,47.4,75.9,55.7,3.1,0.4,3.7,2.7,8.8,18.0
Leo Harouard,Saint-Chamond U21,21,25.0,13.6,8.4,2.0,3.1,5.3,58.1,39.1,55.6,74.3,63.6,1.3,0.6,2.9,2.7,4.8,17.9
