Joueur,Equipe,MJ,Min,Pts,Reb,As,Ro,Rd,2P%,3P%,TIRS%,LF%,TS%,St,Bl,To,Fo,Plus_Minus,Eval
Theo Pichard,Charleville-Méz.,16,31.3,13.8,5.5,7.2,1.8,3.7,66.7,0.0,61.0,71.3,66.8,1.5,0.3,2.1,2.1,1.8,21.5
Alexis Yetna,Tarbes-Lourdes,29,26.1,13.9,9.3,1.5,3.8,5.4,66.5,33.3,57.8,63.2,63.4,1.3,0.6,1.7,2.7,3.8,19.6
Nathan Soliman,Pôle France,25,30.4,15.6,7.0,3.8,1.8,5.3,52.6,30.1,46.4,63.9,55.9,1.9,0.9,1.7,2.0,-6.0,19.1
Collin Turner,Metz BC,21,33.2,19.8,3.9,3.5,1.0,2.9,57.8,39.4,51.0,78.0,61.9,2.3,0.1,2.8,2.3,-4.8,19.0
Dion Wright,Salon-de-Provence,9,31.9,18.4,5.7,2.1,2.7,3.0,59.3,40.0,54.5,71.0,61.6,1.1,0.8,2.2,2.8,0.8,18.8
Sasha Derradji,Saint-Vallier,30,27.3,12.5,6.2,5.8,1.9,4.4,52.4,22.2,48.0,76.1,58.5,2.0,0.1,2.4,1.7,2.3,18.6
Louis Marnette,Toulouse,15,28.2,19.5,4.7,4.1,0.2,4.5,50.0,42.3,44.8,85.2,63.5,0.7,0.1,2.4,2.7,1.3,18.5
Lois Gendrey,Poissy,3,33.7,17.7,2.7,5.0,0.3,2.3,39.1,56.2,46.2,88.9,61.7,1.7,0.0,2.7,0.0,-4.0,17.0
Justinas Jogminas,Saint-Vallier,24,27.5,13.7,6.4,2.8,2.2,4.2,64.0,33.3,59.7,60.0,63.1,1.5,0.3,2.4,2.3,2.2,16.9
Raijon Kelly,Berck Rang du Fliers,27,30.8,14.0,3.0,6.5,0.6,2.5,53.3,33.7,46.5,88.7,56.9,1.1,0.0,2.3,2.0,3.4,16.1
Martins Igbanu,Fos-sur-Mer,8,24.0,14.9,6.0,0.6,2.4,3.6,63.6,40.0,60.0,75.5,68.7,0.5,0.2,1.5,2.8,0.6,16.0
Mitch Pelissier,Chartres,1,22.0,14.0,4.0,3.0,0.0,4.0,33.3,50.0,45.5,-,63.6,2.0,0.0,1.0,0.0,5.0,16.0
Mounir Bernaoui,Fos-sur-Mer,22,25.9,9.9,8.5,1.7,2.6,5.9,51.7,33.3,49.3,83.3,61.1,1.2,0.2,1.6,2.1,7.8,16.0
Kilian Incredule,Fougères,30,29.2,10.7,5.5,5.6,1.5,4.0,44.9,33.3,37.7,89.3,52.3,2.2,0.0,2.1,2.4,3.5,15.9
Domnick Bridgewater,Fos-sur-Mer,28,29.4,20.1,2.1,4.7,0.7,1.5,54.8,30.1,45.1,72.9,56.4,2.5,0.0,3.7,3.1,5.5,15.8
Dennis Ona Embo,Toulouse,29,27.9,13.8,2.1,6.3,0.1,2.1,54.8,42.9,48.4,83.7,64.2,1.2,0.0,2.3,2.2,3.6,15.8
Alexis Thomas,Berck Rang du Fliers,29,27.3,12.3,6.7,2.2,2.3,4.3,61.7,26.9,54.4,68.2,60.5,0.6,0.6,1.7,2.2,-0.3,15.6
Kane Milling,Levallois,29,30.2,15.4,4.3,2.8,1.3,3.0,55.5,34.1,47.6,77.7,58.3,1.1,0.1,1.4,1.9,5.6,15.5
Léonardo De Bruhl,Vitré,30,31.0,15.0,4.5,5.1,0.9,3.6,53.3,32.1,44.0,78.2,54.6,1.3,0.0,2.8,2.9,2.2,15.5
Vincent Sanford,Loon Plage,25,29.6,16.0,4.3,3.4,0.7,3.6,52.2,33.0,45.9,78.1,54.6,1.4,0.3,2.1,2.3,2.6,15.4
